Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD
Operator 23,Well 4083,MBH,9657,32,152,97,13,3528228,60917,12/19/2012,Sleeves,47.99114674,-103.0312784,,578.62736,81.94,407.3635766,392.6692965,311.187815,255.5847761,222.0770327
Operator 4,Well 4084,TFH,9490,30,148,99,3,2012400,31890,4/6/2013,Sleeves,47.67354769,-103.2879189,,660,14.4,69.460881,60.14683322,52.99693184,44.10475564,38.79300899
Operator 24,Well 4085,TFH,8954,29,154,97,33,3460522,83910,2/28/2013,P & P,48.11162562,-103.1620379,,542.80862,55.53,336.3905325,272.8796844,198.191979,164.6504493,143.4774271
Operator 32,Well 4086,TFH,9433,20,150,96,1,2305960,39573,12/16/2012,Sleeves,47.84650536,-102.9166125,,629.195795,97.26,447.2057857,410.1358755,321.8715757,275.984367,243.3705895
Operator 23,Well 4087,TFH,8862,32,152,97,13,2122448,47051,12/29/2012,Sleeves,47.99114622,-103.031401,CROSSLINKED (HC),528.633545,64.08,398.816568,328.8735481,241.617357,198.2613777,172.5262985
Operator 4,Well 4088,MBH,8789,30,148,99,3,2712160,39652,4/10/2013,Sleeves,47.67336591,-103.2743404,LINEAR GEL (HC),597.031245,52.48,286.1932939,261.1549419,212.7657243,176.0537658,151.736796
Operator 18,Well 4089,TFH,9381,30,151,95,20,1300998,33668,11/8/2012,Sleeves,47.8840118,-102.8578601,,660,151.02,884.8454964,691.9789612,531.0376945,450.1789758,394.0116152
Operator 1,Well 409,MBH,5529,1,161,95,13,819000,17346,1/1/2006,No Data,48.77780788,-102.9597479,,660,17.68,131.3609467,100.3068157,80.65417488,68.46738257,60.95222441
Operator 32,Well 4090,MBH,8434,20,150,96,1,2306340,40353,12/16/2012,Sleeves,47.84650536,-102.9167959,,629.195795,139.15,924.7863248,779.2351523,547.3920666,448.0933596,392.2857769
Operator 22,Well 4091,TFH,10032,26,150,99,12,4062460,91110.69048,3/28/2014,Sleeves,47.81978337,-103.2877765,SLICKWATER (HC),510.2749,75.54,351.3806706,344.6197677,274.0466798,230.5172036,200.6848565
Operator 23,Well 4092,MBH,9450,31,152,97,13,3304474,53593,12/15/2012,Sleeves,47.9911457,-103.0315237,CROSSLINKED (HC),594.30023,78.96,498.8823143,398.6302871,303.9831251,253.9119001,221.4140916
Operator 1,Well 4093,MBH,9671,30,151,99,1,2776395,58047,12/14/2012,P & P,47.93352034,-103.2845453,,599.12046,134,636.522025,543.6554898,451.4902476,409.2519541,368.5897436
Operator 18,Well 4094,TFH,8979,,151,95,20,0,0,1/1/2012,No Data,47.88401159,-102.8576562,SLICKWATER (HC),660,135.06,888.0670611,636.1056323,497.304405,413.7300022,357.7936664
Operator 2,Well 4095,TFH,4075,16,153,96,11,1168854,36437,2/8/2013,Sleeves,48.09516398,-102.9939406,,658.213845,53.18,298.8494412,263.2916941,199.9452115,164.9463073,143.2719702
Operator 18,Well 4096,MBH,9933,29,150,95,5,1873435,37321,5/9/2013,Sleeves,47.84157483,-102.8568237,,518.52835,174.75,1184.122288,894.499233,663.3738768,536.4380159,458.1552707
Operator 23,Well 4097,MBH,9740,32,150,99,34,3602420,60714,2/27/2015,Sleeves,47.76218338,-103.3272986,,660,84.6,592.6364234,436.9055446,,,
Operator 11,Well 4098,TFH,10165,36,152,101,11,4531323,100393,11/27/2012,Sleeves,47.99480074,-103.5788013,,612.794545,62.12,358.2511506,298.4001753,227.2792023,197.6440938,178.029805
Operator 2,Well 4099,MBH,4104,16,153,96,11,1232395,35588,2/10/2013,Sleeves,48.0952652,-102.9940511,,658.213845,103.34,446.5483235,407.199211,348.0166557,302.8709183,269.9183651
Operator 4,Well 41,TFH,9225,30,140,100,13,2022180,31008,12/21/2011,Sleeves,46.94765072,-103.2425831,CROSSLINKED (HC),660,127.42,899.3754109,653.802323,481.5033969,398.8603989,341.4255972
Operator 22,Well 410,TFH,5675,1,160,99,17,651000,5263,1/1/2007,No Data,48.69076933,-103.5140574,,660,4.2,21.03879027,18.02542187,15.63664256,13.97472423,12.55752794
Operator 18,Well 4100,TFH,9948,29,150,95,5,1831060,31763,2/20/2014,Sleeves,47.84115892,-102.8574554,,660,169.58,1112.524655,817.6747754,644.7622178,526.0975966,451.7066623
Operator 23,Well 4101,MBH,9941,32,150,99,34,3591620,61788,3/1/2015,Sleeves,47.76218327,-103.3274207,CROSSLINKED (HC),660,74.35,585.2728468,406.4431295,,,
Operator 29,Well 4102,MBH,9307,37,150,101,3,3840611,93241,12/5/2012,Frac ports,47.84763819,-103.5905356,,660,76.04,387.9355687,323.9316239,265.5708963,230.0606326,203.2051282
Operator 41,Well 4103,MBH,9184,30,152,98,19,3598679,72054,5/11/2013,P & P,47.96540482,-103.2713782,LINEAR GEL (HC),607.31991,141.82,583.7606838,558.4045584,480.7911462,425.1771495,385.1632698
Operator 18,Well 4104,TFH,10051,29,150,95,5,1831060,31763,5/14/2013,Sleeves,47.84171189,-102.8568237,,568.3971,156.26,1171.367521,804.7227701,598.3563445,486.3576594,410.0646504
Operator 22,Well 4105,MBH,10070,26,151,99,18,2937600,74249,2/17/2013,Sleeves,47.90313912,-103.4103353,,520.89075,116.08,696.3182117,480.834977,371.0442691,316.2502739,275.4793995
Operator 41,Well 4106,TFH,9019,28,152,98,19,3524900,84255,5/11/2013,P & P,47.96540553,-103.2715008,LINEAR GEL (HC),601.582995,117.4,502.8270874,442.2857769,367.9487179,326.8902038,291.4940828
Operator 11,Well 4107,TFH,9642,36,152,100,20,4694473,95705,2/1/2013,Sleeves,47.96471744,-103.5030115,,619.727445,147.42,792.3076923,647.4468551,529.6241508,458.4374315,404.3858207
Operator 34,Well 4108,MBH,9187,16,151,94,31,3406591,65267.5,1/14/2013,P & P,47.84835387,-102.7632831,,557.20789,142.63,789.6778435,616.7104975,487.6999781,427.9457959,386.7904887
Operator 22,Well 4109,TFH,10052,26,151,99,18,2878000,74137,2/14/2013,Sleeves,47.9028787,-103.4103316,,520.89075,79.28,479.2570677,378.9173789,281.6787201,239.8531668,209.7112645
Operator 22,Well 411,MBH,8299,,161,98,2,902000,6993,1/1/2005,No Data,48.80603957,-103.3633023,,660,18.04,86.12754767,74.18365111,59.86193294,50.997151,45.43885602
Operator 41,Well 4110,MBH,9595,32,152,98,19,3748431,75145,5/10/2013,P & P,47.96540625,-103.2716234,,579.26068,130.24,543.5897436,505.0076704,440.0942362,388.8669735,354.9227482
Operator 11,Well 4111,MBH,9642,36,152,100,20,4483255,81287,1/26/2013,Sleeves,47.96471798,-103.5028072,,660,133.46,772.2222222,697.008547,536.669954,437.8917379,374.2302213
Operator 1,Well 4112,TFH,8398,30,153,94,16,2833980,52593,6/26/2013,P & P,48.07959204,-102.7732735,,660,127.79,709.8290598,561.1111111,439.4203375,369.216159,327.1860618
Operator 41,Well 4113,TFH,9999,32,152,98,19,3874308,97127,5/10/2013,P & P,47.96540696,-103.2717459,SLICKWATER (HC),584.997595,113.01,427.9750164,401.4354591,382.4457594,350.2337643,323.1317116
Operator 1,Well 4114,TFH,10115,29,153,94,16,2769882,21466,6/4/2013,P & P,48.07954632,-102.7731013,,645.461215,169.88,901.0519395,843.1952663,640.9325005,533.395427,466.7789831
Operator 24,Well 4115,MBH,9114,35,150,101,8,5052881,254635,12/22/2012,P & P,47.82106786,-103.6384582,SW-GEL HYBRID,589.47034,99.64,611.374096,402.6517642,341.9953978,298.1846738,262.6753233
Operator 24,Well 4116,MBH,9961,35,152,103,27,4047751,245481,10/6/2012,P & P,47.96308114,-103.8519992,SW-GEL HYBRID,660,129.63,562.3602893,476.0245453,405.0295858,368.2153554,346.3236906
