Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD
Operator 1,Well 1,MBH,5114,30,141,99,10,0,16079,1/1/2006,No Data,47.05114958,-103.2145801,,660,33.55,141.5187377,127.6901162,110.0098619,97.35188838,88.27525751
Operator 1,Well 10,MBH,10626,1,142,99,2,0,26063,1/1/2006,No Data,47.14045104,-103.1991766,,660,41.55,194.1485865,157.8676309,132.2430419,115.9653737,105.1199869
Operator 4,Well 100,TFH,9167,28,139,100,13,1495508,55244,3/17/2012,Sleeves,46.86058682,-103.2462915,,660,47.59,277.9092702,227.7010739,168.79794,141.2155745,121.6579005
Operator 7,Well 1000,MBH,9969,1,142,97,7,954000,10225,1/1/2006,No Data,47.1389039,-103.0312774,,660,10.01,55.62130178,44.6416831,35.48104317,29.75016437,25.86017971
Operator 4,Well 10000,TFH,9008,23,154,98,33,3129000,51287,2/17/2015,P & P (cmt.),48.11203336,-103.2941402,SW-XL HYBRID,202.19094,86.55,,,,,
Operator 1,Well 10001,TFH,9462,30,155,98,19,5528291,121503,7/6/2015,P & P,48.22798439,-103.3280376,SLICKWATER (HC),567.378245,119.27,,,,,
Operator 4,Well 10002,TFH,8996,30,156,100,18,3748800,125870,5/21/2015,P & P (cmt.),48.34053804,-103.5890329,SLICKWATER (HC),419.78419,68.75,,,,,
Operator 18,Well 10003,MBH,9398,50,155,96,14,3433655,51273,9/29/2015,Sleeves,48.25359423,-102.9855248,,414.030395,107.59,,,,,
Operator 1,Well 10004,TFH,9498,30,155,97,20,5961425,122948,1/8/2015,P & P,48.22731305,-103.177899,CROSSLINKED (HC),621.873795,95.87,,,,,
Operator 1,Well 10005,MBH,9444,30,154,100,24,5369856,121862,2/14/2015,P & P,48.15273772,-103.490046,CROSSLINKED (HC),575.85662,133.2,,,,,
Operator 18,Well 10006,MBH,5916,50,157,96,5,4036711,60665,6/13/2015,Sleeves,48.45832024,-103.1116625,CROSSLINKED (HC),526.23735,48.9,,,,,
Operator 18,Well 10007,TFH,10557,35,157,96,5,2804501,51832,6/17/2015,Sleeves,48.45832055,-103.1115264,SLICKWATER (HC),356.45244,50.13,,,,,
Operator 18,Well 10008,TFH,9429,33,154,98,7,2224542,36200,3/29/2015,Sleeves,48.17029604,-103.3255974,CROSSLINKED (HC),504.71312,70.26,,,,,
Operator 2,Well 10009,MBH,9854,30,155,96,5,3905892,83914,5/19/2015,P & P,48.28330445,-103.0560536,CROSSLINKED (HC),513.813995,81.4,,,,,
Operator 27,Well 1001,MBH,9456,25,161,101,26,2816044,59059,4/29/2015,P & P (cmt.),48.74899873,-103.7564416,LINEAR GEL (HC),660,58.75,,,,,
Operator 2,Well 10010,TFH,9610,30,155,96,5,3774869,78953,5/25/2015,P & P,48.28330417,-103.0559303,,407.1868,69.84,,,,,
Operator 2,Well 10011,MBH,9223,30,155,96,5,3662033,73871,5/19/2015,P & P,48.28330388,-103.055807,,553.372805,76.36,,,,,
Operator 2,Well 10012,MBH,9689,45,157,95,16,7019274,87643,12/11/2015,30 Sleeves and 15 P & P,48.42971051,-102.9629016,CROSSLINKED (HC),364.54824,102.94,,,,,
Operator 2,Well 10013,MBH,10137,45,157,95,16,7542850,89824,12/9/2015,30 Sleeves and 15 P & P,48.42971063,-102.9630252,,449.23288,114.17,,,,,
Operator 41,Well 10014,TFH,9068,28,155,100,1,3602394,125812,9/20/2014,P & P,48.28372616,-103.4755151,SLICKWATER (HC),619.291925,90.64,494.017094,334.8564541,257.6703923,,
Operator 1,Well 10015,TFH,9547,40,159,96,34,4810607,105828,9/14/2014,P & P,48.54718859,-103.0782601,,660,55.68,285.7659435,242.31865,206.6348893,,
Operator 24,Well 10016,TFH,9199,25,154,98,23,4717858,112745,8/18/2014,P & P (cmt.),48.14163319,-103.2484607,CROSSLINKED (HC),262.21974,80.22,513.0177515,369.2965155,291.7926803,240.2586018,
Operator 38,Well 10017,TFH,6568,26,154,99,14,3811423,59463,11/13/2014,P & P (cmt.),48.16610045,-103.3766646,LINEAR GEL (HC),401.45465,67.74,329.1913215,287.6725838,,,
Operator 18,Well 10018,MBH,9982,35,159,98,26,2518225,43263,3/10/2015,Sleeves,48.57437066,-103.3177486,LINEAR GEL (HC),660,53.61,226.2327416,205.2706553,,,
Operator 46,Well 10019,MBH,9238,50,155,99,10,5998969,304024,9/28/2015,P & P,48.25649234,-103.4039464,SLICKWATER (HC),660,220.85,,,,,
Operator 22,Well 1002,TFH,9625,28,161,99,21,2411721,67357,2/16/2016,P & P (cmt.),48.75041565,-103.5396737,SLICKWATER (HC),660,79.07,,,,,
Operator 46,Well 10020,MBH,9841,50,154,99,35,5649945,288721,2/21/2015,P & P,48.11180178,-103.3734375,SLICKWATER (HC),660,219.87,263.1163708,,,,
Operator 46,Well 10021,MBH,10055,50,154,99,35,5844845.721,260628,2/20/2015,P & P,48.11180282,-103.3735604,SLICKWATER (HC),660,222.45,518.9020381,,,,
Operator 18,Well 10022,TFH,7957,25,157,95,24,1704710,30320,11/21/2014,Sleeves,48.40742674,-102.8935265,CROSSLINKED (HC),660,74.82,344.4115713,301.3039667,242.9268025,,
Operator 1,Well 10023,TFH,11317,40,153,99,31,7583624,171234,2/8/2015,P & P,48.03322985,-103.4701114,,567.130555,122.87,422.6824458,406.1253561,,,
Operator 1,Well 10024,MBH,11286,40,153,99,31,7973766,150413,1/29/2015,P & P,48.03318356,-103.4702791,,567.130555,174.97,581.2952005,451.7861056,,,
Operator 4,Well 10025,MBH,8949,23,154,98,33,2988000,53211,2/17/2015,P & P (cmt.),48.11203382,-103.2942631,SW-XL HYBRID,257.61639,80.2,,,,,
Operator 4,Well 10026,TFH,9456,24,154,98,33,2968760,49469,2/23/2015,P & P (cmt.),48.11203153,-103.2943861,CROSSLINKED (HC),275.762595,87.49,,,,,
Operator 4,Well 10027,MBH,9050,30,156,100,18,4415800,166568,5/21/2015,P & P (cmt.),48.34057325,-103.5889221,SLICKWATER (HC),417.130945,100.1,,,,,
Operator 1,Well 10028,TFH,9601,30,155,97,20,4431127,231624,1/4/2015,P & P,48.2273121,-103.1777142,SLICKWATER (HC),660,108.26,,,,,
Operator 1,Well 10029,TFH,9287,30,154,100,24,5929393,117891,2/12/2015,P & P,48.15273926,-103.4898615,CROSSLINKED (HC),575.85662,69.13,,,,,
Operator 22,Well 1003,MBH,9517,30,161,97,31,2609766,61650,1/10/2016,P & P (cmt.),48.72132424,-103.3261432,SLICKWATER (HC),660,41.2,,,,,
Operator 1,Well 10030,MBH,9253,30,155,98,21,3402520,199660,3/6/2015,P & P,48.2276356,-103.2991488,SLICKWATER (HC),645.55996,134.94,710.3879027,421.7291256,,,
Operator 18,Well 10031,MBH,10593,34,157,96,5,2503760,50552,6/10/2015,Sleeves,48.45832087,-103.1113903,CROSSLINKED (HC),490.21509,53.96,,,,,
Operator 18,Well 10032,MBH,9159,32,157,96,5,2625456,43019,6/15/2015,Sleeves,48.45832118,-103.1112543,,633.4667,22.58,,,,,
Operator 18,Well 10033,MBH,9327,48,154,98,7,3293240,49766,3/31/2015,Sleeves,48.17029545,-103.325462,CROSSLINKED (HC),439.86458,103.71,890.7626561,,,,
Operator 18,Well 10034,MBH,9688,35,158,98,16,2739899,45329,5/29/2015,Sleeves,48.51626692,-103.3459453,,660,68.98,,,,,
Operator 2,Well 10035,TFH,9243,30,155,96,5,3658186,77938,5/25/2015,P & P,48.28330332,-103.0555604,CROSSLINKED (HC),613.084835,69.28,,,,,
Operator 41,Well 10036,MBH,9257,30,156,100,32,5360535,238751,4/29/2015,P & P (cmt.),48.28583883,-103.5625142,SLICKWATER (HC),603.35805,165.05,,,,,
Operator 18,Well 10037,TFH,9661,35,156,95,21,2458259,41117,11/4/2015,Sleeves,48.31550026,-102.9107677,SW-XL HYBRID,276.82681,52.01,,,,,
Operator 18,Well 10038,MBH,9741,35,156,95,21,2439601,40563,11/3/2015,Sleeves,48.31550014,-102.9109035,CROSSLINKED (HC),186.615925,57.31,,,,,
Operator 18,Well 10039,TFH,9703,35,156,95,21,2458527,40599,11/9/2015,Sleeves,48.31550001,-102.9110392,CROSSLINKED (HC),161.59803,37.85,,,,,
Operator 27,Well 1004,MBH,8998,25,161,101,25,2790868,55774,5/5/2015,P & P (cmt.),48.74886046,-103.7419316,LINEAR GEL (HC),660,60.08,,,,,
Operator 41,Well 10040,MBH,9592,30,155,100,1,3785336,133875,9/20/2014,P & P,48.28372554,-103.4756384,SLICKWATER (HC),603.04405,97.26,574.1946088,416.3817664,315.5544598,,
Operator 41,Well 10041,TFH,9848,32,155,100,1,3944138,147813,9/20/2014,P & P,48.28372491,-103.4757617,SLICKWATER (HC),627.81908,88.49,454.6679816,361.4727153,270.4032435,,
Operator 11,Well 10042,TFH,9694,32,155,101,5,4084100,79000,10/14/2014,Sleeves,48.27986695,-103.7109853,,660,58.95,312.1301775,225.7725181,176.660092,,
Operator 24,Well 10043,MBH,7991,19,154,98,23,4349323,89451,8/18/2014,P & P (cmt.),48.14166951,-103.2483492,CROSSLINKED (HC),298.737075,75.45,571.9921105,414.069691,295.9785229,234.2537804,
Operator 18,Well 10044,MBH,9280,31,159,98,26,3611160,53489,12/15/2014,Sleeves,48.57437066,-103.317885,LINEAR GEL (HC),660,55.77,391.4858646,274.852071,,,
Operator 41,Well 10045,TFH,9690,33,154,101,7,5756296,201084,1/22/2015,P & P (cmt.),48.16981943,-103.7199281,SLICKWATER (HC),607.35116,51.56,,,,,
Operator 13,Well 10046,MBH,9719,50,158,95,17,4001904,193764,12/14/2014,P & P,48.50365723,-102.976368,SLICKWATER (HC),483.273075,143.52,910.5193951,641.2667105,,,
Operator 27,Well 10047,MBH,9127,25,159,100,4,2820487,56072,10/17/2014,P & P (cmt.),48.63292153,-103.6156082,CROSSLINKED (HC),660,51.86,212.3931624,193.8636862,169.0116152,145.0690335,
Operator 1,Well 10048,TFH,11777,40,153,99,31,7942187,164296,11/8/2014,P & P,48.03297939,-103.4710358,CROSSLINKED (HC),578.149085,149.56,497.008547,447.6879246,353.7804076,,
Operator 1,Well 10049,MBH,11799,40,153,99,31,5730439,300437,11/20/2014,P & P,48.03293311,-103.4712076,,578.149085,175.53,620.5785667,583.7168529,507.4019286,,
Operator 22,Well 1005,MBH,9614,30,163,100,15,2551165,73585,6/16/2016,P & P (cmt.),48.9517648,-103.6429713,SLICKWATER (HC),660,54.89,,,,,
Operator 1,Well 10050,MBH,4301,25,155,100,13,4924414,94330,10/11/2014,P & P,48.25494165,-103.4880821,LINEAR GEL (HC),660,107.72,548.9809336,474.7863248,359.1989919,,
Operator 4,Well 10051,TFH,8751,30,156,100,18,3996080,129459,6/22/2015,P & P (cmt.),48.34060846,-103.5888112,SLICKWATER (HC),416.18459,76.47,,,,,
Operator 4,Well 10052,TFH,8996,30,156,100,18,3748800,125870,5/21/2015,P & P (cmt.),48.34064367,-103.5887004,SLICKWATER (HC),541.61589,118.86,,,,,
Operator 1,Well 10053,TFH,10256,30,155,97,20,5977729,119140,12/26/2014,P & P,48.22730789,-103.176893,,634.43065,93.2,,,,,
Operator 1,Well 10054,MBH,10220,30,155,97,20,4475964,223526,12/22/2014,P & P,48.22730694,-103.1767082,SLICKWATER (HC),634.43065,109.55,,,,,
Operator 1,Well 10055,TFH,9420,29,155,98,21,5543270,123484,3/6/2015,P & P,48.22763526,-103.2989639,SLICKWATER (HC),645.55996,113.29,671.1045365,357.5169844,,,
Operator 2,Well 10056,TFH,7069,30,158,95,15,2742660,68916,3/14/2015,P & P,48.51650992,-102.9439591,CROSSLINKED (HC),566.18634,79.36,265.0558843,,,,
Operator 2,Well 10057,MBH,6880,30,158,95,15,2626200,68844,3/10/2015,P & P,48.51651014,-102.9438353,CROSSLINKED (HC),488.35147,87.78,370.973044,,,,
Operator 1,Well 10058,MBH,9456,30,154,100,35,3468600,190378,4/15/2015,P & P,48.11598238,-103.5156897,SLICKWATER (HC),660,120.78,,,,,
Operator 41,Well 10059,MBH,10020,33,156,100,32,5905113,243082,5/10/2015,P & P (cmt.),48.28583942,-103.5626293,SLICKWATER (HC),576.74539,171.36,,,,,
Operator 22,Well 1006,MBH,10120,30,161,97,31,2614646,62367,1/10/2016,P & P (cmt.),48.7213253,-103.3263504,SLICKWATER (HC),660,42.16,,,,,
Operator 18,Well 10060,MBH,9744,35,156,95,21,2453012,40634,11/5/2015,Sleeves,48.31549988,-102.911175,,247.99969,52.12,,,,,
Operator 41,Well 10061,TFH,8744,34,156,100,34,5169763,253252,8/24/2015,P & P (cmt.),48.28592908,-103.5324769,SW-GEL HYBRID,583.618385,86.75,,,,,
Operator 11,Well 10062,TFH,9500,32,155,101,5,3929180,95513,10/6/2014,Sleeves,48.2797765,-103.7109841,SW-GEL HYBRID,660,51.38,467.7514793,334.6811308,219.8444006,,
Operator 11,Well 10063,TFH,9717,32,155,101,5,4007268,75902,10/18/2014,Sleeves,48.27968604,-103.7109828,LINEAR GEL (HC),660,32.96,111.9000657,107.571773,88.94915626,,
Operator 18,Well 10064,MBH,10513,35,159,98,25,2517731,45590,3/4/2015,Sleeves,48.57440776,-103.2774828,LINEAR GEL (HC),660,63.14,265.5489809,232.1389437,,,
Operator 1,Well 10065,TFH,9613,30,153,99,17,6062615,147179,8/11/2014,P & P,48.08124321,-103.4334863,SLICKWATER (HC),650.88965,120.71,534.9769888,511.374096,418.5294762,295.1384323,
Operator 25,Well 10066,MBH,9176,35,158,101,36,3498026,74001,11/3/2014,P & P,48.46052991,-103.6807419,SLICKWATER (HC),660,64.41,322.1236029,308.7552049,239.3326759,,
Operator 1,Well 10067,MBH,9450,40,155,98,19,5991109,300169,11/4/2014,P & P,48.22772728,-103.3366654,,554.67381,158.01,530.4404997,497.8303748,449.6055227,,
Operator 1,Well 10068,TFH,9551,40,155,98,19,8010651,155877,11/4/2014,P & P,48.22772691,-103.3364806,CROSSLINKED (HC),552.13088,134.59,401.808021,366.8639053,312.6451896,,
Operator 4,Well 10069,TFH,9937,44,156,97,2,2736719,98799,9/11/2014,P & P (cmt.),48.37171849,-103.1293709,CROSSLINKED (HC),531.79592,53.19,303.2215648,252.7394258,189.1573526,155.2122142,
Operator 22,Well 1007,MBH,9732,30,160,98,20,2614969,64088,2/5/2016,P & P (cmt.),48.66279986,-103.3755639,SLICKWATER (HC),660,38.2,,,,,
Operator 2,Well 10070,MBH,9087,30,155,96,17,3590661,81696,1/1/2015,P & P,48.25469371,-103.0586884,CROSSLINKED (HC),655.770915,71.32,441.1571335,,,,
Operator 1,Well 10071,MBH,4292,25,155,100,34,4969136,96641,11/19/2014,P & P,48.21140275,-103.5255203,CROSSLINKED (HC),660,87.35,484.9769888,425.0054789,340.768135,,
Operator 4,Well 10072,TFH,10353,35,156,100,18,4414500,152397,6/3/2015,P & P (cmt.),48.34104988,-103.587399,SLICKWATER (HC),492.197055,86.11,,,,,
Operator 13,Well 10073,TFH,9573,35,158,95,16,3970126,172159,3/26/2015,P & P (cmt.),48.50381162,-102.9678899,SLICKWATER (HC),321.093675,67.98,,,,,
Operator 13,Well 10074,MBH,9547,35,158,95,16,3937128,156864,3/17/2015,P & P (cmt.),48.50381136,-102.9677454,SLICKWATER (HC),298.927515,105.93,,,,,
Operator 1,Well 10075,MBH,10183,30,155,98,21,3355120,192283,3/18/2015,P & P,48.22763373,-103.2981425,SLICKWATER (HC),658.266995,166.02,698.816568,430.1994302,,,
Operator 1,Well 10076,TFH,10191,30,155,98,21,5873748,124687,3/18/2015,P & P,48.22763339,-103.2979577,SLICKWATER (HC),420.765735,129.4,631.2623274,388.8231427,,,
Operator 2,Well 10077,TFH,6620,30,158,95,15,2634380,68148,3/7/2015,1 Sleeve and 29 P & P,48.51651037,-102.9437115,SLICKWATER (HC),532.79843,73.44,476.1012492,,,,
Operator 2,Well 10078,MBH,6793,30,158,95,15,2633550,65815,3/3/2015,P & P,48.5165106,-102.9435876,CROSSLINKED (HC),610.6333,68.15,302.695595,,,,
Operator 1,Well 10079,TFH,9492,30,154,100,35,5892229,117101,4/16/2015,P & P,48.11589192,-103.5158092,SLICKWATER (HC),648.01705,103.55,,,,,
Operator 7,Well 1008,MBH,5915,1,141,96,4,1054688,10684,8/29/2006,OH,47.06622556,-102.8606031,,660,47.48,200.3287311,177.2189349,155.7308788,140.3426109,129.24611
Operator 1,Well 10080,MBH,9831,30,154,100,35,3453450,193442,4/22/2015,P & P,48.11580146,-103.515945,SW-GEL HYBRID,648.01705,122.79,,,,,
Operator 2,Well 10081,MBH,9251,30,158,95,3,3644880,78372,6/11/2015,P & P,48.54545909,-102.9351332,LINEAR GEL (HC),541.715045,86.04,,,,,
Operator 2,Well 10082,TFH,9180,30,158,95,3,3650619,78954,6/16/2015,P & P,48.54545949,-102.9350093,CROSSLINKED (HC),536.916665,71.62,,,,,
Operator 1,Well 10083,MBH,9350,30,158,100,16,3448266,184853,5/26/2014,P & P,48.51684198,-103.6102736,SLICKWATER (HC),660,97.48,702.6298488,481.7882972,367.614508,303.532033,261.1275477
Operator 11,Well 10084,MBH,10165,32,155,101,5,3995784,71088,9/19/2014,Sleeves,48.28363963,-103.7030719,,660,70.49,381.0979619,307.8128424,230.6103441,,
Operator 27,Well 10085,MBH,9936,25,159,101,11,3057473,56446,6/16/2014,P & P (cmt.),48.60512012,-103.6970858,SLICKWATER (HC),660,54.13,225.9040105,197.1071663,183.420995,163.8724523,146.8523997
Operator 18,Well 10086,TFH,9567,35,159,98,25,2514926,42736,3/7/2015,Sleeves,48.57440801,-103.2773464,LINEAR GEL (HC),660,67.39,379.1913215,228.248959,,,
Operator 1,Well 10087,MBH,3003,10,153,99,17,1409368,76685,7/30/2014,P & P,48.08124341,-103.4333021,SLICKWATER (HC),650.88965,166.85,630.0131492,558.6894587,476.808021,392.8921031,
Operator 1,Well 10088,MBH,9588,40,158,98,20,8027994,154789,8/20/2014,P & P,48.4892966,-103.3782183,CROSSLINKED (HC),660,105.93,528.9612097,414.365549,354.0214771,298.6339397,
Operator 1,Well 10089,MBH,10292,38,155,98,19,4261698,249519,2/16/2015,P & P,48.22772529,-103.3356594,SLICKWATER (HC),581.30824,164.45,626.035503,385.3495507,,,
Operator 22,Well 1009,MBH,10063,30,163,100,15,2562721,77346,6/17/2016,P & P (cmt.),48.9517648,-103.6431795,SLICKWATER (HC),653.849925,49.71,,,,,
Operator 18,Well 10090,MBH,10614,35,158,97,31,2381801,41061,3/30/2015,Sleeves,48.46070851,-103.2568319,,660,60.92,,,,,
Operator 2,Well 10091,TFH,9758,30,155,96,17,3834635,82051,1/5/2015,P & P,48.25469319,-103.0585652,,627.836365,54.84,224.4575937,,,,
Operator 2,Well 10092,MBH,9381,30,155,96,17,3682606,74023,1/10/2015,P & P,48.25469268,-103.058442,CROSSLINKED (HC),619.31374,55.36,255.6541749,,,,
Operator 4,Well 10093,MBH,9703,35,154,97,9,5393080,153429,4/19/2015,P & P (cmt.),48.1710443,-103.1645018,SLICKWATER (HC),529.76314,124.9,,,,,
Operator 4,Well 10094,TFH,9904,26,154,97,9,3506980,56574,4/24/2015,P & P (cmt.),48.17111311,-103.1645674,CROSSLINKED (HC),379.81517,50.43,,,,,
Operator 4,Well 10095,MBH,10316,35,156,100,18,5231400,202772,6/3/2015,P & P (cmt.),48.3410851,-103.5872881,SLICKWATER (HC),508.58644,131.36,,,,,
Operator 4,Well 10096,TFH,10320,35,156,100,18,4539600,157627,6/4/2015,P & P (cmt.),48.34112031,-103.5871773,SLICKWATER (HC),502.03881,108.03,,,,,
Operator 13,Well 10097,TFH,9469,35,158,95,16,3892746,167636,3/16/2015,P & P (cmt.),48.50381109,-102.9676009,SLICKWATER (HC),376.402705,122.33,,,,,
Operator 4,Well 10098,MBH,9290,35,156,100,7,7354062,276217,10/25/2015,P & P (cmt.),48.34459308,-103.5979148,SLICKWATER (HC),543.167525,163.55,,,,,
Operator 18,Well 10099,MBH,10632,35,154,98,10,2474945,36652,6/12/2015,Sleeves,48.17025304,-103.2795866,LINEAR GEL (HC),287.243135,141.37,,,,,
Operator 1,Well 101,TFH,9532,30,141,99,4,5784540,94257,8/12/2014,P & P,47.06616344,-103.2306396,,660,70.9,402.7613412,312.0644313,249.3151435,203.9557309,
Operator 22,Well 1010,TFH,9577,26,163,100,15,2592410,70602,6/16/2016,P & P (cmt.),48.9517648,-103.6433876,SLICKWATER (HC),560.59251,55.98,,,,,
Operator 18,Well 10100,MBH,9952,35,154,98,32,2520402,39706,4/4/2015,Sleeves,48.11200548,-103.3232035,LINEAR GEL (HC),501.24626,114.63,725.6410256,564.0587333,,,
Operator 4,Well 10101,MBH,6762,23,154,98,22,4682100,151086,7/2/2015,P & P (cmt.),48.14243169,-103.2728876,SLICKWATER (HC),660,161.67,,,,,
Operator 2,Well 10102,MBH,9290,30,158,95,3,3656150,78134,6/11/2015,P & P,48.54545988,-102.9348854,LINEAR GEL (HC),507.70667,92.34,,,,,
Operator 2,Well 10103,TFH,9463,30,158,95,3,3743530,82876,6/4/2015,P & P,48.54546028,-102.9347615,CROSSLINKED (HC),519.58259,75.53,,,,,
Operator 1,Well 10104,MBH,9586,30,159,99,21,3417722,197761,2/18/2015,P & P,48.57651604,-103.4858458,SLICKWATER (HC),660,84.44,,,,,
Operator 11,Well 10105,TFH,9311,32,155,101,8,3946649,80093,10/22/2014,Sleeves,48.26018073,-103.7106674,LINEAR GEL (HC),660,40.45,240.4010519,176.8354153,138.9053254,,
Operator 27,Well 10106,MBH,9365,30,159,101,11,2939144,57417,6/16/2014,P & P (cmt.),48.60512012,-103.6966515,CROSSLINKED (HC),660,46.04,162.1301775,153.2544379,142.3405654,134.772445,124.7150997
Operator 1,Well 10107,MBH,9545,30,158,99,14,4480390,217033,8/7/2014,P & P,48.51679884,-103.4419265,,660,82.93,298.3563445,270.6662284,245.1293009,212.6634524,
Operator 1,Well 10108,TFH,9187,30,155,97,29,5989571,128036,7/6/2014,P & P,48.2243795,-103.1868874,,629.04116,89.39,416.765286,358.7661626,278.1722551,226.0793338,
Operator 1,Well 10109,MBH,9407,30,158,100,22,4481051,215651,7/3/2014,P & P,48.48965212,-103.5938287,SLICKWATER (HC),660,140.8,666.7324129,525.8711374,469.0335306,417.6820805,
Operator 22,Well 1011,MBH,9467,30,163,100,15,2562960,73449,6/27/2016,P & P (cmt.),48.95121664,-103.6586363,SLICKWATER (HC),660,52.55,,,,,
Operator 41,Well 10110,MBH,9827,32,155,103,9,5693694,196049,9/19/2014,P & P (cmt.),48.25673246,-103.9334698,SLICKWATER (HC),660,36.54,167.7186062,136.5987289,86.00153408,,
Operator 1,Well 10111,TFH,10217,29,155,98,19,5577839,123226,2/14/2015,P & P,48.22772493,-103.3354746,CROSSLINKED (HC),539.930015,130.86,453.1558185,300.0986193,,,
Operator 1,Well 10112,TFH,9409,40,155,98,24,7903534,167314,12/24/2014,P & P,48.22751721,-103.2205669,,653.37701,111.76,424.7863248,362.5027394,,,
Operator 18,Well 10113,MBH,9747,35,158,97,31,2381669,40141,4/1/2015,Sleeves,48.46070813,-103.2565596,SLICKWATER (HC),660,60.95,485.4700855,,,,
Operator 2,Well 10114,TFH,9384,30,155,96,17,3441668,73497,1/15/2015,P & P,48.25469217,-103.0583187,CROSSLINKED (HC),632.690465,38.98,133.8593031,,,,
Operator 18,Well 10115,TFH,10046,35,155,95,18,2403850,42981,3/18/2015,Sleeves,48.25371331,-102.9491125,LINEAR GEL (HC),540.90034,100.67,547.008547,504.3721236,,,
Operator 4,Well 10116,MBH,9655,33,154,97,9,4690789,148433,4/19/2015,P & P (cmt.),48.17118193,-103.1646372,SLICKWATER (HC),301.37744,97.44,,,,,
Operator 4,Well 10117,MBH,10283,35,156,100,18,7148960,236340,6/4/2015,P & P (cmt.),48.34115552,-103.5870664,SLICKWATER (HC),567.107505,182.26,,,,,
Operator 13,Well 10118,MBH,9935,35,158,95,16,4016038,169106,5/12/2015,P & P (cmt.),48.50435944,-102.9676791,SLICKWATER (HC),348.557245,129.52,,,,,
Operator 13,Well 10119,TFH,9909,35,158,95,16,3881893,177476,5/12/2015,P & P (cmt.),48.5043597,-102.9678235,SLICKWATER (HC),328.160505,70.71,,,,,
Operator 22,Well 1012,TFH,9645,20,161,98,35,2686392,67913,5/23/2016,P & P (cmt.),48.72114473,-103.3712265,SLICKWATER (HC),660,50.41,,,,,
Operator 4,Well 10120,MBH,8990,35,156,100,7,7354882,300843,10/22/2015,P & P (cmt.),48.34459261,-103.5977913,SLICKWATER (HC),472.81643,144.86,,,,,
Operator 4,Well 10121,MBH,8690,35,156,100,7,7355011,294957,10/25/2015,P & P (cmt.),48.34459214,-103.5976679,SLICKWATER (HC),538.52564,131.99,,,,,
Operator 18,Well 10122,MBH,10171,35,154,98,10,2455850,39206,6/17/2015,Sleeves,48.1703435,-103.2795879,LINEAR GEL (HC),191.477435,58.76,,,,,
Operator 18,Well 10123,MBH,9926,35,154,98,10,2456125,36042,6/15/2015,Sleeves,48.17043396,-103.2795892,LINEAR GEL (HC),213.982145,98.36,,,,,
Operator 4,Well 10124,MBH,9830,34,154,98,22,7068200,223240,7/3/2015,P & P (cmt.),48.14235219,-103.2729292,SLICKWATER (HC),660,178.85,,,,,
Operator 18,Well 10125,MBH,9520,35,157,97,1,2812568,41934,6/20/2015,Sleeves,48.4587019,-103.1471497,LINEAR GEL (HC),569.19931,62.84,,,,,
Operator 11,Well 10126,TFH,9741,32,155,101,8,3644635,73595,9/19/2014,Sleeves,48.26027119,-103.7106674,LINEAR GEL (HC),660,42.95,162.1301775,157.9333772,138.9984659,,
Operator 2,Well 10127,MBH,8941,45,159,96,10,3783120,84243,8/30/2014,P & P (cmt.),48.605257,-103.0660382,CROSSLINKED (HC),660,60.8,291.6502301,234.3085689,184.231865,128.7384031,
Operator 11,Well 10128,TFH,9788,32,155,101,5,3711379,169579,9/24/2014,P & P,48.28362324,-103.7029361,SW-GEL HYBRID,660,61.89,387.8040763,281.1527504,229.0105194,,
Operator 1,Well 10129,MBH,9191,30,155,97,29,4478495,221756,7/5/2014,P & P,48.22442971,-103.1870564,,655.05633,141.41,582.5443787,492.1433268,449.8027613,400.6976404,
Operator 22,Well 1013,MBH,10244,20,161,98,35,2686392,67913,5/24/2016,P & P (cmt.),48.72114526,-103.3710193,SLICKWATER (HC),660,59.38,,,,,
Operator 41,Well 10130,MBH,9878,32,155,103,9,5625390,386286,9/19/2014,P & P (cmt.),48.25673274,-103.9335931,SLICKWATER (HC),616.166685,38.26,155.687048,118.5185185,70.28270874,,
Operator 41,Well 10131,MBH,9546,36,156,100,27,8084032,114786,3/1/2015,P & P (cmt.),48.31290046,-103.5193372,LINEAR GEL (HC),552.97798,109.07,,,,,
Operator 1,Well 10132,MBH,9585,40,155,98,24,4598329,259216,12/15/2014,P & P,48.22751695,-103.2203821,SLICKWATER (HC),653.37701,117.66,487.0808679,427.8763971,319.8937103,,
Operator 18,Well 10133,MBH,9533,35,158,97,31,2389082,40286,4/3/2015,Sleeves,48.46070794,-103.2564235,,660,53.43,319.8224852,202.5750603,,,
Operator 4,Well 10134,MBH,9430,43,156,97,2,3297408,78083,12/13/2014,P & P (cmt.),48.37161875,-103.1178426,CROSSLINKED (HC),626.315505,67.69,476.1341223,349.3315801,236.0344072,,
Operator 41,Well 10135,MBH,9828,32,155,100,1,3836275,149176,10/23/2014,P & P (cmt.),48.28370749,-103.4900131,SLICKWATER (HC),641.49839,128.56,490.6311637,433.7168529,358.1470524,,
